,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50
cell_1,-15.656715,-3.5258954,-10.3547735,-5.9029274,-1.8239579,-13.107249,2.76671,-7.827826,-2.8660102,3.2590451,-2.0628986,-22.44085,1.0817465,2.5031416,-14.179126,11.583119,10.510358,-12.454424,6.182286,24.84934,5.9551244,10.462701,-7.8913503,20.296768,-16.341396,-2.9744973,21.242199,-13.806684,0.26450875,-3.7754765,-6.624779,3.2873032,3.2452521,4.5234127,10.184824,14.674517,-0.65780497,0.13877848,18.475967,-13.444784,-19.398369,10.119199,-1.7492005,-20.251297,-17.741163,15.307977,3.27842,-3.0508394,-20.635378,-12.44478
cell_2,-12.654099,0.8292283,-9.326681,-6.842735,-8.360738,-7.4353685,-2.3533354,-4.277068,-3.2088058,-0.7754806,-2.8504605,-21.764534,3.958309,1.5678833,-18.325785,4.486376,7.849309,-23.47666,3.7748907,22.980139,8.877259,8.164644,-13.7734,18.188807,-16.800154,-8.462832,17.260948,-14.287312,0.07945183,-8.477877,-8.798075,7.633872,9.822745,3.9965463,5.479297,12.349314,-3.8415174,-1.1281071,22.478762,-12.415161,-16.024761,7.755335,-5.8249106,-19.19601,-17.855188,7.1548386,4.3037505,-2.8422105,-14.58677,-12.504972
cell_3,-8.621563,-5.45526,-8.501049,-8.770872,-6.640704,-11.978918,-1.900342,0.13117185,0.7331054,-1.6106386,-0.25267896,-11.5018635,4.7898145,4.7679744,-13.843705,7.507914,5.507548,-11.972177,1.1468481,23.851837,-0.8686222,0.004835951,-16.991777,19.522295,-14.41853,-9.56779,18.446577,-16.951939,-2.4910643,-9.872137,-10.152788,-1.941283,8.72106,3.2981143,5.577128,10.234305,-2.403251,-3.0851502,15.439656,-4.6239095,-17.730124,7.694117,-6.356974,-21.532352,-18.965677,18.325397,6.515043,1.5290138,-12.681842,-13.201553
cell_4,-8.708412,-3.6134472,-17.751913,3.392214,7.265212,-8.112263,-2.5861745,-3.0730162,1.8124454,2.5096846,-3.5296984,-16.991224,7.4224734,5.1376944,-11.661543,6.631537,-1.4776773,-7.817534,-2.6024656,18.497477,0.2956817,13.184797,-8.707652,15.5486555,-10.253545,-9.898871,19.609251,-15.269795,0.5599653,0.004427266,-5.222485,-3.1096275,7.3672194,6.3166485,12.409179,16.181559,2.1025653,-0.4280565,16.544401,-11.641194,-21.600481,5.72445,-1.8372778,-25.080214,-8.1533165,16.688465,6.9132214,-2.1953988,-18.952656,-4.1086645
cell_5,-6.7202826,-3.332614,-11.001979,1.0968513,4.7216005,-6.845387,-4.8702626,-5.120244,5.918999,-1.5319428,-7.730867,-20.589508,6.835638,6.8243947,-9.210739,7.2648077,2.833082,-6.3299756,-4.5769396,18.429241,-3.011842,8.549059,-11.093062,19.198326,-11.716128,-6.981291,17.086054,-18.969778,3.0573394,-0.12189883,-3.5203702,-4.6170583,10.5853405,8.878892,14.1607065,16.022089,-1.5113438,4.031568,21.062414,-6.478254,-20.356289,8.468443,1.3246763,-24.203981,-6.1387954,15.965281,6.3240404,-1.7351837,-15.196773,-8.528597
cell_6,-8.205937,-3.0083342,-10.396411,-0.10458307,8.804787,-9.348136,-1.3115493,-5.967739,1.462247,7.1124153,-7.573497,-25.854494,9.808126,5.636935,-10.356819,7.582365,6.3389683,-11.089285,7.6651907,19.244158,5.1581755,10.3243065,-9.24333,18.050137,-12.159543,-8.074483,16.401289,-21.104761,5.8640227,-6.517947,-4.739043,-4.429981,14.1892805,10.890866,14.765597,14.119203,-1.6864592,2.5445106,22.098375,-8.416665,-19.730917,7.094719,-0.17377415,-25.620049,-5.151087,9.720099,7.116078,-1.0754275,-16.217669,-15.499588
cell_7,-4.40278,-0.8105779,-1.8797164,-13.158679,1.2673728,-1.7987927,-4.5352435,-2.4763198,-0.46515787,-1.0919087,-9.603995,-22.898201,2.8968978,3.4454122,-16.184317,4.536002,7.894721,-20.636387,-3.1385906,15.537335,1.9691278,-3.4205744,-15.842228,26.667892,-8.599207,-9.271445,9.109335,-22.704033,-1.0544809,-13.847806,-5.482832,2.3493695,11.309187,1.5651375,10.397459,10.093515,-5.0731497,-4.999894,28.811522,-13.7338705,-6.658692,5.826406,-4.2753797,-21.26448,-12.497385,2.1423216,1.1609956,-2.6193879,-10.850225,-7.5601377
cell_8,-5.88557,-6.7609367,-7.890042,-7.6404476,-6.56583,-9.3803835,-3.8431048,-4.6305857,0.19879791,-2.3196015,-3.1773477,-11.568924,3.0801797,3.3966472,-9.332545,3.58477,7.520652,-11.042202,0.44799483,19.379808,-4.7872024,1.8479966,-17.842337,20.805098,-12.047738,-11.129419,14.0257635,-13.067687,3.0041974,-7.0204253,-7.865558,2.5560665,14.321276,6.248885,5.5197134,10.568367,-5.1132755,-1.6004558,19.161327,-2.2457273,-15.442094,4.8372045,-8.197073,-18.429918,-14.163327,11.345344,4.986203,0.34010673,-10.881551,-13.745662
cell_9,-9.864215,0.026750417,-8.079876,-13.19227,-0.7555785,-6.6108875,-4.419336,-3.9339566,-1.1055417,1.1411178,4.947128,-24.552614,5.053938,5.5815372,-12.168941,4.458275,10.422584,-18.428492,-1.8314342,21.771513,-0.41375473,4.9056063,-17.277948,19.78261,-8.660401,-11.596726,21.952389,-13.585134,6.3084545,-10.450625,-10.849232,-4.018027,9.977516,10.0190525,9.916727,15.5198965,1.4951988,-4.842747,23.243908,-4.703255,-21.733948,12.215533,-8.374467,-17.449314,-13.160405,3.0946898,5.2223516,-10.7352705,-10.795119,-12.453871
cell_10,-10.546814,-2.5161033,-18.053474,-4.598434,9.591897,-4.524816,-0.4106468,-10.490777,4.846049,3.86503,-3.3062177,-25.345266,9.463795,8.234172,-12.921136,1.1083637,6.531704,-8.280949,1.0608466,20.424725,3.4747324,6.8909082,-24.151161,15.422305,-13.196652,-9.754296,22.715275,-16.113312,10.5246935,-5.909622,-8.546952,-0.92354035,13.045504,11.215031,13.781406,14.5302725,-2.181222,-1.0632795,24.249393,-14.327321,-21.982529,12.519814,-5.5401,-19.38667,-12.086789,14.112875,6.3018727,-6.051755,-14.3099985,-10.439622
cell_11,-6.9025593,-5.711756,-24.036488,5.1860456,18.180729,-7.6496153,-1.6925939,-11.368401,1.2565011,8.377641,-7.596768,-19.175259,21.723833,11.809733,-10.221605,1.6216687,-0.091315314,0.4059136,5.7495723,18.608889,7.344063,16.142378,-12.042242,12.661679,-11.082407,-13.47621,20.59744,-16.579197,11.5393505,-4.844284,-0.33293307,-10.188923,17.98681,15.774361,15.827856,16.470034,4.016497,-8.166663,21.903055,-7.8250384,-25.725958,6.6728415,9.856709,-24.753534,-3.1926498,17.447445,6.361272,-6.3771157,-15.061264,-8.263807
cell_12,-8.007246,-8.22094,-4.9931083,-15.740542,8.703053,-13.593437,-4.868348,-5.464502,0.003631627,4.0038033,6.9249926,-26.54044,6.4765925,6.5736985,-11.547492,4.905861,12.11433,-12.249185,0.6675036,19.314007,1.078513,-8.442334,-29.653004,22.522089,-14.477298,-12.998675,20.428213,-29.665655,5.2465696,-12.88127,-19.600405,2.9098618,11.9543495,10.702478,4.7557344,11.519894,-13.562315,1.6918464,21.99659,-9.199873,-18.923853,16.463953,-18.178312,-23.315273,-22.306765,10.963582,0.7772645,2.5899484,-18.08578,-15.004232
cell_13,-13.527683,0.027080886,-7.535592,-8.256741,-7.039711,-12.419923,-3.644039,-2.8051481,-5.583682,3.4122763,-6.4864745,-20.569546,6.872537,0.28166094,-21.406212,0.68406165,9.702374,-22.29842,2.0967674,22.220762,5.737012,7.9816155,-12.148505,24.55567,-15.2246,-10.462979,17.660023,-21.051704,2.9877768,-12.771338,-13.3847275,1.9114376,11.616526,2.7940211,4.6937985,14.975614,-8.273227,-5.6116624,24.429007,-12.555407,-19.36894,9.079964,-5.793552,-20.932827,-15.459479,5.8936872,6.5957217,-2.4560363,-13.826194,-13.965893
cell_14,-14.959752,-1.2086627,-3.338604,-16.565924,-1.6843343,-17.108227,-5.6051683,-7.378236,-11.4452505,6.3526525,-5.3084607,-22.21518,6.628802,-3.8967702,-19.811028,-0.008525051,13.948728,-16.289995,10.900252,16.734762,8.585709,2.0053859,-11.704994,28.545908,-15.249195,-9.389877,14.588903,-25.026295,7.392672,-17.37532,-17.37673,4.065572,11.047794,8.765601,2.258332,14.056205,-11.737171,-9.590699,27.721275,-11.81102,-17.152246,11.214496,-8.255409,-18.32345,-15.7989235,-1.789497,-0.57118475,-3.7429383,-15.970175,-15.8813925
cell_15,-11.405562,-4.38685,-8.47366,-2.9857688,-5.6136174,-13.367306,0.5817826,-4.714535,-1.5767045,1.1882515,-1.6407936,-17.313726,7.5991654,4.1447396,-15.411444,6.3488846,10.167411,-15.585495,5.682383,24.225872,10.638825,6.313157,-11.865677,15.618746,-18.445545,-6.191347,16.639542,-16.468992,-2.016806,-6.4813647,-7.8344655,9.242809,11.720176,2.6661172,1.2869725,11.654115,-9.0219,-2.6223643,14.854434,-7.1598253,-16.203547,7.4416304,0.5103439,-22.138939,-22.80178,13.853433,4.6881175,4.080395,-19.232725,-13.535095
cell_16,-9.187933,-2.4071746,-18.950224,2.329891,11.398314,-5.3224387,-4.6383424,-6.835669,7.7239904,2.9813147,-5.966694,-22.253805,15.114475,10.662318,-10.864679,0.8228993,1.0534248,-3.1998007,1.2734588,19.13538,-0.91739774,11.009791,-17.583364,15.586433,-13.196693,-8.685966,20.576914,-18.419064,5.604098,-4.48551,-4.014419,-6.8667345,14.640176,13.354418,19.616959,17.792109,-0.9402409,-1.3885622,23.235113,-5.744525,-23.74719,8.983261,7.279869,-22.581617,-7.918711,17.90709,5.5333204,-5.552444,-16.374464,-6.2161193
cell_17,-6.6288495,1.6908889,-3.0562413,-7.3704314,-1.90434,-14.390483,-2.0479753,2.4655643,-3.0841913,0.6460775,-1.0738076,-29.50136,4.430655,8.404658,-11.734538,8.439362,8.932259,-21.255445,6.052907,21.696064,2.4003608,-0.53686845,-10.525164,23.576298,-11.517429,-5.2515545,21.391745,-20.67669,-4.1894517,-8.339506,-9.311039,3.3652744,12.477167,4.7886043,8.027379,11.93205,-3.2315762,0.6743703,19.871906,-8.387988,-14.39533,9.97781,-6.0546207,-26.111338,-14.209414,9.142051,1.9698969,1.3949461,-12.910004,-13.5103855
cell_18,-6.7237473,-3.8757098,-5.219623,-7.509939,-0.76286286,-8.8691025,0.06704812,-3.7883034,0.029769536,0.26056483,-4.086577,-19.002623,4.0803223,4.3694334,-12.7977915,10.309643,7.8615055,-14.62289,1.4026272,21.542349,4.38943,4.0313106,-8.958032,21.005028,-14.25049,-9.44936,13.9280615,-17.447134,-1.6368439,-9.672397,-3.8345215,-0.3724333,8.325908,2.4956088,11.545029,10.418862,-0.9935993,-1.2521483,18.333618,-8.655967,-15.838969,8.097971,0.34424418,-22.85893,-15.269849,11.537426,3.8349593,0.054959696,-13.647567,-11.183221
cell_19,-12.701528,-1.3937304,-6.5256805,-3.9738162,-8.283289,-2.5837574,0.21128525,-4.385114,1.2534378,-3.780212,-2.8324113,-24.458858,4.1108556,8.896959,-11.645807,2.169097,11.804232,-20.129816,-2.9379623,20.525824,5.771352,9.235705,-12.24653,17.598322,-13.83903,0.0449144,17.916086,-12.308763,-2.6992962,0.29050398,-1.9051554,9.891496,11.4509115,4.86205,-0.003559517,16.58137,-8.614381,-1.8444856,23.940886,-8.100635,-11.803026,8.440603,7.380452,-16.22422,-16.823124,7.9699435,3.2009237,-1.1325898,-15.349043,-10.737959
cell_20,5.558958,1.492617,-8.781847,6.089262,-3.2533915,-17.284864,-0.14878654,-3.959966,-10.633906,10.326996,-20.538952,-25.97475,18.47356,-0.1670786,-12.793825,7.70484,18.018307,-19.006355,21.912487,19.99408,13.908215,13.455426,-6.0603375,15.278252,-22.392725,-17.39888,3.8290532,-14.289618,14.055127,-14.413801,4.6235743,0.6714943,20.548885,-1.6356225,20.371605,15.032124,6.902857,-3.376984,26.713263,-1.1773802,-20.023504,-9.116399,19.225468,-17.554432,-11.8778105,4.1723714,-9.211567,-2.5306218,-17.833534,-2.5887601
cell_21,-14.648105,-6.793208,-12.662663,-0.13916828,11.808354,-8.819716,-1.2086977,-13.451781,5.9822736,3.4049497,-5.6611724,-18.377367,13.65648,8.787461,-14.611022,7.5525265,3.5513241,-0.079188064,-1.2191586,20.101814,6.0503592,8.430824,-7.6373944,19.055317,-13.389505,-6.045276,17.133015,-21.870089,5.6114745,-4.2771316,-6.517384,-6.0038075,10.291242,11.916659,14.614108,13.242436,-3.3108413,-4.3338075,20.93735,-8.888593,-20.693127,9.453999,5.8703766,-25.084524,-10.627969,18.172646,7.205502,-5.079119,-18.533064,-9.331247
cell_22,-9.522347,-6.440264,-9.308687,-8.655483,1.4695854,-6.1034446,0.13580173,-5.72671,0.6281066,-0.6481487,-2.6232767,-21.009977,4.1449895,5.028282,-10.768762,5.5760765,7.5637794,-11.277133,-4.2486963,17.101393,-10.192173,7.3797064,-16.07641,23.78861,-12.3622465,-10.485325,18.544708,-17.156054,3.7784443,-5.951885,-11.042377,-1.7411375,11.418709,6.145438,9.561159,17.130997,-7.764371,-2.685082,25.198591,-9.610635,-17.879808,7.312199,-2.5067356,-18.401384,-11.280248,7.1177073,4.7393074,-3.6815774,-15.739961,-10.724957
cell_23,-11.856936,0.87667286,-3.664338,-8.603422,5.171818,-16.45609,0.07237475,-10.729557,1.44192,1.509443,-4.6647954,-30.176632,1.9268336,1.5829254,-16.626549,5.578904,11.000163,-13.7871895,0.9368051,17.125479,-4.081055,0.44456887,-10.606539,32.974472,-16.467466,-11.321141,19.010483,-23.456139,4.997916,-13.092074,-21.879883,5.702998,10.234275,1.0063187,19.847942,11.273885,-10.511029,-0.34337568,23.271029,-16.858284,-21.01365,11.360677,-8.258249,-23.36249,-20.098421,3.7435398,1.5002394,-3.5792532,-17.46505,-3.6188185
cell_24,1.5849482,-0.8085129,-22.503878,10.893419,9.649644,-13.935835,2.9083633,-12.164494,-0.665993,6.705152,-17.057703,-20.48069,19.378841,10.776742,-11.030968,1.0317566,3.110778,-5.454098,6.9882207,18.641737,4.9801526,18.069319,-6.322989,14.730675,-16.22132,-17.038927,19.37691,-8.492602,17.334599,-2.804841,0.88834333,-8.201412,18.498512,1.7124395,22.873966,19.665365,10.442059,-4.473481,19.20737,-11.187099,-30.653648,2.626679,11.636728,-22.222694,-6.3235154,16.306458,1.8391064,-3.7757256,-12.813727,2.087303
cell_25,-9.602629,-2.7275856,-9.985553,-1.8017081,5.5586114,-12.82388,-0.87557393,-7.1653147,1.3195542,4.6755486,-8.343307,-21.845474,10.140249,8.265819,-10.753594,7.536946,1.0857261,-10.147392,6.209458,19.856808,4.696502,11.205508,-8.628198,18.764906,-15.804656,-4.9649706,19.234716,-21.090899,4.723473,-5.087484,-3.8238552,-4.395381,10.782006,9.60616,12.112446,13.5208,0.9022555,3.337602,21.784964,-12.11151,-20.9679,10.907848,0.7852933,-24.593334,-7.2450223,18.491718,4.2709165,-1.2294358,-15.69031,-15.183502
cell_26,-3.9547434,-4.191404,-3.2949967,-10.099184,4.5410542,-13.254395,0.23140386,-7.8751454,-1.0991225,6.9375706,1.2439458,-20.935862,11.172791,3.4924371,-8.849626,4.4371815,10.870098,-14.524878,4.4110394,18.680342,2.8459256,5.697523,-15.591308,17.941236,-16.76025,-17.75207,13.4781475,-17.761868,12.010746,-16.378988,-10.287435,-0.9410302,15.332127,5.4635005,14.28944,6.475608,-2.2241452,-3.2476637,21.918062,-3.7129405,-22.325872,6.406782,-2.119798,-16.692904,-13.841977,4.639592,0.5198821,-6.276264,-10.718806,-12.207579
cell_27,-7.448795,-1.964944,-19.17378,3.4207973,11.357307,-11.717359,-2.622416,-7.6314344,2.7741897,4.4747195,-5.911065,-21.795729,13.609971,9.564482,-12.179201,3.9052873,0.44007283,-4.9920793,5.1436744,18.67308,3.0199723,8.504184,-14.75665,16.511032,-14.160422,-11.134482,21.169157,-17.527485,6.6960683,-4.038663,-6.96009,-3.5449896,13.46086,9.561191,17.143576,14.190932,1.8095677,-0.4366783,19.513924,-11.3290415,-23.193802,7.7870393,-1.1789052,-25.063221,-9.687169,19.590702,3.2575085,-2.4019656,-16.316565,-4.932256
cell_28,-8.4259615,-0.1872789,-18.312365,-3.5198767,13.635291,-1.4119725,-4.0083046,-8.192501,6.030863,3.4460688,-3.4932985,-29.152367,11.584887,10.778264,-12.586855,-1.4019017,3.439694,-8.2507105,-1.0831323,18.203825,1.3157022,4.0101275,-25.134666,16.559048,-8.800288,-9.523415,22.496923,-16.643454,8.352647,-6.028248,-8.340576,-2.373252,15.093849,12.656142,18.705605,14.218337,-1.4179199,-3.5996344,27.06707,-12.711879,-19.094633,10.526543,-3.490085,-20.209518,-8.965577,11.339961,4.9246984,-9.203608,-11.546481,-5.5397553
cell_29,-5.0334983,-7.5640917,-12.246404,-5.747392,-1.057007,-6.5731883,-2.5542192,-3.3740969,0.6745731,2.1210237,-4.013857,-14.087016,5.664539,7.512267,-13.981112,5.6651607,6.019987,-10.821142,0.907236,23.689667,2.9826534,0.7746223,-18.437626,17.162424,-9.9971285,-11.241385,15.757313,-13.482359,2.4417644,-7.5234327,-3.398037,-5.02541,8.721256,4.152722,11.726386,14.638393,3.1242104,-0.9344036,16.127829,-6.536476,-17.45609,7.113579,-6.184102,-20.524078,-16.887142,17.668003,5.5234427,-0.20286825,-13.69675,-9.678549
cell_30,-10.100577,-0.57736635,-12.023505,-5.154573,-0.8701801,-10.184293,-4.0704308,-3.808859,-4.099176,5.3653984,-6.935528,-32.045773,5.4237823,1.9547936,-18.065962,-3.5738845,14.390638,-16.86477,7.323637,20.209602,3.6445282,0.8491814,-26.691008,19.76384,-15.280111,-3.3594244,20.52156,-20.352842,5.083619,-7.626245,-13.828766,11.136945,12.073903,4.6329036,8.433254,18.00056,-13.639448,-0.22593634,24.265179,-14.6417265,-14.992129,8.787467,-7.376081,-15.089767,-20.079065,7.598588,-0.55033416,-0.8001185,-18.592613,-7.3921647
cell_31,-8.935361,-10.766848,-12.216061,4.57782,7.90379,-15.478944,-2.870952,-15.174246,5.5506535,3.3771672,-12.647386,-13.398949,13.42896,12.679596,-8.691736,6.5476627,-1.0458833,1.9823034,3.3790944,17.740742,0.4973365,7.380277,-5.684725,24.315737,-12.989906,-6.4404364,15.487964,-19.60648,6.9611177,-0.29294932,-5.6010547,-7.8772593,15.358759,11.213472,15.00079,15.272791,-0.46167427,-0.3659362,20.467695,-5.28737,-21.607851,5.3145466,3.9491136,-28.308727,-10.374752,23.35694,5.3545904,1.5495937,-17.915611,-9.034422
cell_32,0.99816644,2.0967195,-13.196111,4.9429064,-0.020955075,-21.861948,-3.848108,-15.152769,-14.063731,8.693097,-22.967686,-23.824692,21.748808,7.5997205,-12.68161,-0.7160749,4.432787,-15.428128,12.591417,14.871789,11.963633,23.10867,7.1580944,25.00434,-16.246052,-18.236395,13.376392,-9.4446535,21.44108,-7.2037992,-0.022574238,-7.7743897,19.835978,4.9698052,17.655302,26.6526,13.944236,-10.771616,30.930586,-9.02536,-32.052914,2.1981456,18.581808,-20.872015,-7.535719,1.939362,-7.8876915,-10.539003,-15.738721,2.0718954
cell_33,-5.2545066,-1.1434122,-6.2509913,-5.181983,0.594139,-7.657082,-1.0141479,-1.9558076,2.697832,3.2598946,-7.3630385,-21.894398,11.509105,8.231337,-11.71785,-3.7127712,7.4529157,-14.484025,7.836393,14.750594,0.016818859,2.278012,-18.164095,17.378258,-16.715487,-7.5589833,14.657379,-21.74981,5.15765,-13.07687,-8.053056,-1.8849592,15.235247,5.6914306,10.4286785,14.832091,-7.943302,1.6217054,20.939373,-6.746454,-17.126356,9.160175,2.3695018,-15.745918,-12.698769,8.308682,1.5496676,3.0500133,-11.182081,-10.264076
cell_34,-9.955993,-7.842061,-1.9924632,-16.265923,-1.6378305,-5.908317,1.1194245,-9.853537,5.2125173,0.80002856,6.3639736,-24.350567,2.198865,11.715811,-15.075078,5.7811127,13.026682,-20.329554,-8.631943,25.410715,4.4412317,-4.267179,-22.411842,21.634361,-12.840369,-13.42978,19.679893,-19.009178,6.6750636,-12.140196,-13.943539,-1.7758968,7.6902423,5.229297,8.992395,14.060705,-4.1414423,4.423919,18.524286,-11.639739,-21.868864,20.76416,-15.665103,-19.992754,-26.990746,10.766099,7.318996,-1.8818679,-13.557918,-14.959406
cell_35,1.3816247,-2.3925538,-14.110936,1.744535,1.3293418,-12.407161,-0.61477244,-1.9937425,-2.9000254,5.889552,-6.503299,-18.145664,13.8416605,5.7475863,-9.278723,6.1767206,9.498152,-12.499812,11.6081705,22.041143,7.518051,8.62797,-13.821527,10.06021,-14.267606,-14.016106,13.653957,-9.734386,7.406218,-7.378396,1.7670808,0.11462131,19.209702,4.343237,12.034959,12.330628,4.184526,-4.4486923,16.014511,-0.3352327,-18.872467,-0.06461393,3.081245,-21.66624,-10.19278,11.955035,2.0559711,-0.014049047,-13.075672,-10.769381
cell_36,-5.1912084,-0.89412344,-5.3819065,-13.218995,3.0216458,-13.397411,-1.296426,-2.6961892,-4.8172927,4.7795005,-0.31674942,-25.110188,4.4429383,0.22616176,-14.379207,5.3994246,16.160568,-16.683672,0.37859276,22.920633,2.5400112,1.0451431,-19.879324,21.54642,-14.218607,-12.024957,19.690628,-18.30847,7.045817,-11.962962,-9.901594,1.7424587,8.459292,-1.7878782,12.568974,10.44282,-3.3645248,-5.9764004,22.709497,-9.528299,-19.634104,7.9245024,-7.0196304,-17.143612,-15.322823,7.2462177,-0.32336783,-5.5477967,-11.388778,-8.057451
cell_37,-12.582888,2.1961453,-9.75159,-10.030654,-1.2002575,-10.712368,-10.347083,-2.0122478,-5.7266893,0.84226596,-0.9796333,-26.781088,9.224996,3.9811814,-16.370047,4.0760508,15.707843,-15.911253,5.75149,19.436161,4.2080812,4.700254,-14.127391,24.399147,-11.285524,-5.83275,17.338064,-17.92203,-0.055087164,-9.059196,-6.860988,2.7813272,11.030695,10.533783,6.5374584,24.216284,-4.568878,-12.099842,27.742384,-0.34620118,-16.512825,8.182017,6.561588,-19.891771,-19.056393,2.3003366,-4.3633585,-7.95675,-23.66524,-5.005089
cell_38,-9.16368,-2.5498438,-17.506403,4.82774,6.633099,-10.870097,-5.2603297,-8.564972,6.492502,3.0949936,-7.070513,-16.243414,15.89077,11.950924,-12.798177,-5.526135,-1.5874355,-4.8368363,0.9047877,17.464514,1.9028023,6.9557037,-14.332961,17.340279,-10.610712,-7.7475114,21.105545,-17.51084,4.698284,-4.6145597,-11.067007,-2.9477718,18.337114,10.409568,10.879915,15.22569,-6.325498,-5.1849637,15.978403,-6.4202213,-22.750042,10.044344,0.39636117,-24.726847,-12.539223,16.586561,9.92368,0.28757194,-12.058431,-6.2047567
cell_39,-8.219702,-5.2401457,-12.912617,-8.328264,-0.9857733,-1.4221898,-0.23961206,-3.807751,0.78254545,-1.1869742,-1.4332273,-18.202637,4.1230645,6.099412,-13.992003,6.5473976,10.638603,-12.076629,-1.2482938,22.293568,-1.219713,1.6489607,-20.2232,18.905317,-9.185729,-10.753067,17.284567,-11.53145,1.9095521,-7.9694843,-4.750509,-1.4181151,11.122868,5.6289496,9.81211,12.072794,-0.77879024,-6.1826377,21.062082,-6.96891,-13.277935,4.677974,-4.067052,-17.63384,-13.633639,10.820602,6.5488153,-4.6735473,-10.732976,-10.749662
cell_40,-8.239388,1.3596742,-12.734333,-5.728451,-1.9310955,-3.6549327,-6.2623515,2.3468199,-0.6642555,-0.30048385,-2.4143605,-20.56896,9.175746,4.764565,-19.810213,2.2557678,6.355687,-17.856546,-0.89729136,22.536518,6.5890675,-0.49019158,-19.578157,13.968141,-7.792333,-6.5105505,18.455389,-18.769453,-3.3011005,-10.303077,-8.55838,1.5446813,11.813456,6.4067225,3.742128,12.890327,-4.985738,-8.292391,18.040201,-8.2511425,-11.985591,8.176441,-5.9100327,-21.991253,-15.105049,8.936877,8.418399,-2.9180028,-11.67352,-9.889246
cell_41,-3.325903,-5.510037,-6.4574084,-5.8448243,1.2233555,-20.525402,-4.3342032,-3.7876174,-2.3992782,5.948603,-0.7116913,-21.267159,15.660152,5.54498,-16.177319,0.40556473,13.946576,-13.334726,3.2487543,22.94384,6.7408695,-4.683764,-26.059572,18.740952,-19.174595,-16.296913,17.276432,-22.175959,13.377772,-10.849299,-15.520162,4.915722,19.67095,1.3904238,7.5353527,8.1492195,-8.327596,-6.189071,21.53074,-2.465494,-21.190727,2.4021344,-9.68433,-20.747248,-19.48173,14.434192,-0.95614326,-0.08476138,-12.682639,-9.072655
cell_42,-9.855419,-4.1592417,-9.598373,-8.457331,-2.7103357,-8.997341,-1.9943082,-5.068546,5.289225,0.502505,1.3580593,-24.323854,5.9437323,10.507513,-10.970631,0.46670595,1.6179599,-16.347107,3.5547693,21.546513,-0.8488253,2.0040283,-23.024359,19.096636,-17.333157,-10.042118,23.104467,-18.95747,2.4519322,-10.552909,-15.538713,-0.8379639,12.1405115,11.319743,11.946238,14.32754,-4.8064275,7.3497725,19.689152,-10.3522215,-23.826483,17.039942,-10.50403,-20.739498,-20.794123,14.670771,6.2656465,0.9534526,-12.72943,-15.036209
cell_43,-5.243182,5.3838854,-13.457679,0.089655034,-6.529989,-17.580305,-8.232364,-11.707779,-4.2686863,0.26689434,-7.4750443,-28.690119,5.0187597,1.2992178,-21.717796,9.680915,10.026083,-24.18842,2.8786783,31.667841,19.390795,5.1082687,-10.542997,21.171564,-13.26272,-17.155771,18.664417,-9.335664,7.0511193,-7.1012936,-9.997741,11.770664,16.812977,4.0959735,15.829035,10.616041,4.803751,-1.2599819,17.970682,-12.362129,-24.23133,11.096361,-16.258333,-32.563644,-23.279066,8.550732,7.117776,-6.4824185,-14.174013,-9.525887
cell_44,-8.476599,-1.0858874,-16.109083,-9.122993,-8.383144,-7.1199217,0.24003915,-0.6969156,1.3643974,-2.713815,1.5641385,-14.723416,11.23459,7.0694146,-11.69985,-4.714031,2.7312891,-12.687879,8.462973,18.565966,-4.2902446,5.171303,-29.065428,12.777928,-22.663563,-12.567402,22.125668,-10.561395,4.0148945,-13.766885,-12.52557,1.2639496,13.163443,6.796602,7.2754703,12.250746,-2.726795,-4.4790406,21.295958,-5.701698,-21.755499,7.472732,2.182276,-8.574825,-20.883152,15.013746,-0.42551276,-3.2190855,-9.484141,-7.6467686
cell_45,-7.785975,-1.2129011,-12.471285,0.42883727,-2.0875757,-12.739952,-6.4579954,-9.765186,0.6037204,3.0012302,-11.71153,-21.676424,7.0482597,4.7633934,-17.019049,-0.26304147,5.007522,-12.416965,0.23657838,21.135979,8.415244,2.283237,-19.601875,19.290346,-13.899208,-5.8247857,16.281818,-15.879337,6.5321493,-3.0413787,-10.141425,7.074966,11.315965,3.0705307,11.55311,12.946862,-3.9433975,0.29678875,22.371746,-14.383703,-17.462694,7.995762,-7.158783,-20.188665,-19.944752,17.371023,1.4401382,-2.5325334,-15.656938,-3.3876688
cell_46,-11.079525,-6.507956,-5.1392174,-9.486716,-4.010626,-11.947607,2.6298912,-3.8945246,-1.5484974,2.730658,-2.4879384,-17.880638,5.0558233,6.3085513,-13.980411,7.47964,9.950836,-14.040156,1.2068946,22.920773,-0.054885037,5.4309034,-11.294918,23.064604,-16.926434,-7.447219,18.336056,-18.495026,-0.683779,-10.072675,-8.573393,-4.973,4.4726315,-0.168801,10.62201,15.626354,-3.294437,-1.9365072,20.02058,-9.041579,-19.901968,9.639851,3.452376,-17.603333,-20.309603,15.231193,2.0524082,-0.23407367,-16.151133,-9.506564
